gene group
BEX1 ADRN
BEX2 ADRN
BIRC5 ADRN
BMP7 ADRN
BMPR1B ADRN
C11orf95 ADRN
C14orf132 ADRN
C3orf14 ADRN
C4orf48 ADRN
C7orf55 ADRN
CACNA1B ADRN
CACNA2D2 ADRN
CADM1 ADRN
CAMSAP1 ADRN
CCDC167 ADRN
CCND1 ADRN
CCNI ADRN
CCP110 ADRN
CCSAP ADRN
CD200 ADRN
CDC42EP3 ADRN
CDCA5 ADRN
CDKN2C ADRN
CDKN3 ADRN
CELF2 ADRN
CENPU ADRN
CENPV ADRN
CEP44 ADRN
CERK ADRN
CETN3 ADRN
CHGA ADRN
CHGB ADRN
CHML ADRN
CHRNA3 ADRN
CKB ADRN
CLASP2 ADRN
CLGN ADRN
CRH ADRN
CRMP1 ADRN
CSE1L ADRN
CXADR ADRN
CXCR4 ADRN
CYFIP2 ADRN
CYGB ADRN
DACH1 ADRN
DAPK1 ADRN
DBH ADRN
DCX ADRN
DDC ADRN
DDX39A ADRN
DIABLO ADRN
DKK1 ADRN
DLK1 ADRN
DNAJB1 ADRN
DNAJC6 ADRN
DNAJC9 ADRN
DNER ADRN
DPYSL2 ADRN
DPYSL3 ADRN
DPYSL5 ADRN
DTD1 ADRN
DUSP4 ADRN
EEF1A2 ADRN
EIF1B ADRN
ELAVL2 ADRN
ELAVL3 ADRN
ELAVL4 ADRN
EML4 ADRN
EML6 ADRN
ENDOG ADRN
ENO2 ADRN
EPB41L4A-AS1 ADRN
ESRRG ADRN
EVL ADRN
EXOC5 ADRN
EYA1 ADRN
FABP6 ADRN
FAM107B ADRN
FAM155A ADRN
FAM163A ADRN
FAM167A ADRN
FAM169A ADRN
FAM171B ADRN
FAM60A ADRN
FAXC ADRN
FBLL1 ADRN
FBXO8 ADRN
FEV ADRN
FHOD3 ADRN
FIGNL1 ADRN
FKBP1B ADRN
FKBP4 ADRN
FOXM1 ADRN
FOXO3 ADRN
FSD1 ADRN
FZD3 ADRN
GABRB3 ADRN
GAL ADRN
GAP43 ADRN
GATA2 ADRN
GATA3 ADRN
GCH1 ADRN
GDAP1 ADRN
GDAP1L1 ADRN
GDI1 ADRN
GDPD1 ADRN
GGCT ADRN
GGH ADRN
GLCCI1 ADRN
GLDC ADRN
GLRX ADRN
GMNN ADRN
GNB1 ADRN
GNG4 ADRN
GPR22 ADRN
GPR27 ADRN
GRB10 ADRN
GRIA2 ADRN
H1FX ADRN
HAND1 ADRN
HAND2-AS1 ADRN
HES6 ADRN
HEY1 ADRN
HK2 ADRN
HMGA1 ADRN
HMP19 ADRN
HN1 ADRN
HNRNPA0 ADRN
HS6ST2 ADRN
ICA1 ADRN
IGFBPL1 ADRN
IGSF3 ADRN
INA ADRN
INO80C ADRN
INSM1 ADRN
INSM2 ADRN
IRS2 ADRN
ISL1 ADRN
KDM1A ADRN
KIAA1211 ADRN
KIDINS220 ADRN
KIF15 ADRN
KIF1A ADRN
KIF21A ADRN
KIF2A ADRN
KIF5C ADRN
KLC1 ADRN
KLF13 ADRN
KLF7 ADRN
KLHL13 ADRN
KLHL23 ADRN
KNSTRN ADRN
L1CAM ADRN
LEPROTL1 ADRN
LIN28B ADRN
LINC00888 ADRN
LMO3 ADRN
LRRTM2 ADRN
LSM3 ADRN
LSM4 ADRN
LYN ADRN
MAGI3 ADRN
MANEAL ADRN
MAP1B ADRN
MAP2 ADRN
MAP6 ADRN
MAPK8 ADRN
MAPT ADRN
MARCH11 ADRN
MCM2 ADRN
MCM6 ADRN
MCM7 ADRN
MIAT ADRN
MMD ADRN
MRPL48 ADRN
MSH6 ADRN
MSI2 ADRN
MTCL1 ADRN
MXI1 ADRN
MYBL2 ADRN
MYEF2 ADRN
MYO5A ADRN
MYRIP ADRN
NANOS1 ADRN
NAP1L5 ADRN
NAPB ADRN
NARS2 ADRN
NBEA ADRN
NCAM1 ADRN
NCAN ADRN
NCOA7 ADRN
NCS1 ADRN
NEFL ADRN
NEFM ADRN
NELFCD ADRN
NELL2 ADRN
NET1 ADRN
NFIL3 ADRN
NGRN ADRN
NMNAT2 ADRN
NNAT ADRN
NOL4 ADRN
NPTX2 ADRN
NPY ADRN
NRCAM ADRN
NRSN1 ADRN
NUDT11 ADRN
NUF2 ADRN
NUSAP1 ADRN
OLA1 ADRN
OLFM1 ADRN
PARP6 ADRN
PBK ADRN
PBX3 ADRN
PDK1 ADRN
PEG3 ADRN
PHF21B ADRN
PHOX2A ADRN
PHOX2B ADRN
PHPT1 ADRN
PHYHIPL ADRN
PIK3R1 ADRN
PKIA ADRN
PNMA2 ADRN
POLB ADRN
POPDC3 ADRN
PPM1E ADRN
PPP1R9A ADRN
PPP2R3C ADRN
PRC1 ADRN
PRCD ADRN
PRIM1 ADRN
PRPH ADRN
PRSS12 ADRN
PRSS3 ADRN
PTS ADRN
QDPR ADRN
