p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.445611005057757,0.672,0.2,0,1,CORO1A
0,2.4230870306714527,0.992,0.636,0,1,B2M
8.841896502512067e-61,2.4187181307986316,0.169,0.051,3.7003336863013e-56,1,AC058791.1
1.53897178122568e-125,2.418602683173993,0.278,0.074,6.440596904429471e-121,1,PTPN7
2.3723862544497913e-274,2.403255124801337,0.509,0.128,9.928436474872377e-270,1,RAC2
7.35858163158817e-73,2.395023852387272,0.185,0.053,3.079566412819649e-68,1,WAS
4.891831877724806e-74,2.3811484636027602,0.22,0.071,2.0472316408278312e-69,1,APOBEC3G
3.773209192420601e-217,2.378866322581813,0.453,0.124,1.5790880470280216e-212,1,SLC2A3
2.0540187807820922e-98,2.378817198749147,0.235,0.065,8.596068597573056e-94,1,ARID5A
3.366620402219683e-42,2.371106340150442,0.175,0.068,1.4089306383289373e-37,1,SAMD9
6.373144032749995e-132,2.370493374461268,0.269,0.067,2.6671607777058727e-127,1,RIPOR2
0,2.366332539789466,0.932,0.403,0,1,HLA-A
3.3700674084957425e-77,2.3625041958384125,0.178,0.047,1.4103732104554683e-72,1,ARHGAP9
1.7644296652140197e-220,2.3522140949436454,0.623,0.246,7.384138148920672e-216,1,CREM
1.958205565951132e-223,2.3458843938725527,0.416,0.101,8.195090293505488e-219,1,BIRC3
1.245447998386413e-75,2.3451943190941975,0.245,0.085,5.212199873247139e-71,1,RHOF
3.476712513212104e-101,2.34463639786601,0.223,0.058,1.4550041867792656e-96,1,RASSF5
9.716271067252862e-178,2.339971763180671,0.357,0.091,4.0662594416453226e-173,1,NKG7
2.4261701841492517e-65,2.3350030849373855,0.165,0.046,1.0153522220664618e-60,1,JAML
4.692515597814138e-95,2.3325221106457366,0.263,0.082,1.963817777685217e-90,1,TNFAIP8
0,2.3293174932760463,0.93,0.337,0,1,HLA-C
3.5574542869951026e-109,2.3280303213619122,0.381,0.15,1.4887946191074504e-104,1,CNOT6L
5.910031401695223e-66,2.3275806219511805,0.142,0.035,2.473348141609451e-61,1,TMIGD2
3.729421843566389e-92,2.326392041805304,0.244,0.073,1.5607630415325338e-87,1,EVI2B
1.178052817868435e-168,2.304276547389016,0.358,0.094,4.930151042779401e-164,1,CD53
9.533716350875841e-110,2.2995527213558917,0.394,0.161,3.989860292841539e-105,1,LBH
0,2.2896132367807267,0.807,0.211,0,1,SRGN
2.8386757760358732e-50,2.275694217635537,0.169,0.057,1.187985812271013e-45,1,ARHGAP4
4.320221224416655e-196,2.2702269110761417,0.274,0.049,1.80801258241837e-191,1,CTSW
1.5709535759345506e-70,2.261823406013788,0.2,0.062,6.574440715286095e-66,1,VSIR
5.089085160488395e-101,2.2594723810449757,0.26,0.077,2.1297821396643933e-96,1,TNFRSF14
0,2.246860318134546,0.877,0.49,0,1,JUNB
1.0397629847082515e-139,2.2433440441025443,0.397,0.135,4.3514080910040324e-135,1,LCP1
3.0725300588339953e-44,2.2372498988534377,0.19,0.076,1.285853829622027e-39,1,PDE3B
5.553739111795688e-76,2.23482551593282,0.229,0.074,2.3242398182864952e-71,1,TAP1
3.489130713819847e-39,2.2337519826214725,0.172,0.069,1.4602012037336059e-34,1,ABHD14B
0,2.227326683957911,0.945,0.348,0,1,HLA-B
9.559881197346765e-167,2.225948718867993,0.405,0.12,4.000810281089621e-162,1,LSP1
6.1404358110210156e-30,2.220718347130252,0.273,0.169,2.569772386912295e-25,1,CORO1B
0,2.214068324327763,0.654,0.168,0,1,LAPTM5
2.8957846106493564e-77,2.2116333106256354,0.151,0.035,1.2118858595567556e-72,1,MATK
1.5726907381498046e-78,2.2050714949800527,0.298,0.117,6.581710739156932e-74,1,RHOG
2.1996205761000105e-60,2.2000694849001734,0.17,0.051,9.205412110978544e-56,1,CCDC88C
9.934415866177753e-147,2.1935201825552784,0.327,0.088,4.15755303999539e-142,1,ITGB2
1.1067131500286935e-117,2.1697652437188952,0.448,0.195,4.6315945328700823e-113,1,CDC42SE2
3.512154813700779e-58,2.1672102988986857,0.169,0.052,1.4698367895337762e-53,1,CCND2
2.0671840817930612e-66,2.1618813481694605,0.22,0.075,8.651165382303962e-62,1,GLIPR1
7.777483611832778e-278,2.159242481288682,0.831,0.474,3.2548768915520176e-273,1,SH3BGRL3
1.0386356320796701e-243,2.154485912743349,0.824,0.531,4.346690120253419e-239,1,BTG1
5.609207667764466e-61,2.1537637490632027,0.339,0.173,2.347453408959429e-56,1,SMAP2
4.663716008919998e-77,2.153362882344984,0.234,0.076,1.951765149733019e-72,1,CASP4
1.0820282897354452e-138,2.151574503945228,0.245,0.053,4.528288392542838e-134,1,PRKCH
7.034233009743828e-138,2.1455995232311236,0.578,0.307,2.943826514577792e-133,1,YPEL5
2.6330494518441377e-66,2.145447063118725,0.282,0.116,1.1019311955967716e-61,1,VPS37B
8.283400352736068e-60,2.1427272200179006,0.176,0.055,3.466603047620044e-55,1,TRIM22
2.9664997152697094e-48,2.139894158451737,0.213,0.087,1.2414801308403734e-43,1,FAM118A
2.8537021737686263e-46,2.1374340517993438,0.155,0.052,1.1942743597221701e-41,1,NFKB2
3.132108211666952e-129,2.136586957799403,0.287,0.076,1.3107872865826193e-124,1,GPR65
6.93342193744622e-84,2.111286788259677,0.221,0.065,2.901637080821243e-79,1,APBB1IP
9.821674738533335e-110,2.108076731336546,0.369,0.137,4.110370878076201e-105,1,WIPF1
1.5924482082389976e-86,2.0983810414707094,0.402,0.194,6.664395751480205e-82,1,ABRACL
2.23137914212662e-50,2.0929981379461933,0.15,0.047,9.338321709799905e-46,1,MYO1F
1.5226517739459953e-62,2.079935496293911,0.266,0.109,6.3722976739639905e-58,1,MBP
5.738966054279733e-92,2.0748681577817893,0.379,0.164,2.401757293716068e-87,1,CIB1
2.913963471418462e-88,2.0735332751876308,0.382,0.169,1.2194937127886264e-83,1,CRIP1
1.2308066764028213e-56,2.0416318581873827,0.253,0.106,5.150925940745807e-52,1,SIGIRR
1.6509625006172897e-108,2.0394455865594274,0.448,0.205,6.909278065083357e-104,1,RGS10
1.9597360139159328e-49,2.0378556091716478,0.264,0.122,8.201495218238179e-45,1,TCF7
1.9287022363310673e-92,2.0297729665283866,0.499,0.27,8.071618859045516e-88,1,DNAJB1
6.7234918244661516e-37,2.02850537958124,0.237,0.12,2.8137813285390845e-32,1,MGAT4A
1.3934264515889318e-84,2.028399373889893,0.32,0.124,5.831489699899679e-80,1,ARID5B
3.6660312390616404e-34,2.0261326947451663,0.313,0.196,1.5342340735472964e-29,1,TOB1
6.874984023892659e-97,2.0152423154040897,0.31,0.106,2.877180813999078e-92,1,TGFB1
9.737800823350933e-50,2.008941911867322,0.247,0.109,4.075269644572366e-45,1,FMNL1
5.347842024971954e-60,2.0062632391171675,0.167,0.05,2.2380718874507626e-55,1,IL16
2.294807345154902e-140,2.0045184906441498,0.408,0.137,9.603768739473265e-136,1,PSMB9
0,9.366371840636386,0.743,0.005,0,10,MS4A1
0,8.650179126717735,0.186,0.001,0,10,FCRL1
0,8.53882329292982,0.556,0.01,0,10,VPREB3
0,8.449240946206913,0.225,0.003,0,10,CD19
0,8.2096460587601,0.184,0.002,0,10,FCRLA
0,7.945702448943886,0.186,0.003,0,10,LINC02397
0,7.84579802811742,0.306,0.003,0,10,CD22
0,7.7802661947622305,0.232,0.002,0,10,PAX5
0,7.167747351033077,0.203,0.003,0,10,FCER2
0,7.1181039327013265,0.131,0.003,0,10,FCRL2
0,7.027243524976521,0.375,0.014,0,10,LINC00926
0,6.895093645484398,0.569,0.026,0,10,CD79B
0,6.717585039084577,0.338,0.016,0,10,TNFRSF13C
0,6.526659337630885,0.722,0.03,0,10,CD79A
0,6.400950759146665,0.418,0.011,0,10,BANK1
0,6.357508772192167,0.123,0.002,0,10,CXCR5
6.062509830280101e-307,6.010806777102799,0.174,0.012,2.5371603639722226e-302,10,HLA-DOB
0,5.910208795312054,0.162,0.008,0,10,LINC01857
0,5.831467329540607,0.261,0.012,0,10,ADAM28
1.3646443359302786e-256,5.544108729239395,0.153,0.012,5.711036545868216e-252,10,FCRL5
0,5.52814999220332,0.207,0.009,0,10,BLK
0,5.320164157245977,0.292,0.017,0,10,CD72
0,5.2671153048821555,0.193,0.012,0,10,FAM30A
3.0216060518215493e-236,5.19563765781884,0.146,0.012,1.2645421326873184e-231,10,POU2AF1
0,5.1634833919549745,0.201,0.014,0,10,BTK
0,5.050842892797428,0.358,0.023,0,10,FCMR
0,5.033037497304735,0.285,0.023,0,10,LY9
