T.cells	NK.cells	B.cells	Plasma.cells	pDCs	Myeloid.cells	Endothelial.cells	Fibroblasts	Schwann	Adrenocortical.cells	NE.1	NE.2	NE.3	NE.4	NE.5	NE.6	NE.7	NE.8	NE.9	NE.10	NE.11	NE.12	NE.13	NE.14	NE.15
SJNBL030875_D1	0.00172460727366818	1.10325029396923e-19	3.85308787539052e-20	-1.0524233651266e-21	0.0035854439738677	0.0109332722536328	0.0767563003517028	0.0755226293657736	0.240955403980477	0.0267458746850229	-1.91974704205796e-18	0.335672735896326	3.48077261410417e-18	0.000321411639518936	0.00107935635863588	0.0409805935895351	7.4309501255053e-06	5.20547958576402e-18	0.000429723882058135	0.185285215799656	-1.51857480065184e-18	-1.12802783680004e-18	-1.75312717312823e-18	-2.31061924696998e-18	7.61754218499855e-19
SJNBL030882_D1	-1.19132476197415e-19	3.92177537802057e-19	0.000586634267848472	-9.35200822151339e-23	0.000158709591396309	0.000934505442565833	0.0609608700233957	0.0129240872725278	0.0559755316524974	0.0163911360077845	8.5135872519015e-19	0.477222022724424	2.22309845598577e-17	0.00102406500779449	0.00123462788823449	0.000127489225343096	0.0147189904036796	-2.10312884589293e-18	0.0052500929461241	0.236010770573762	0.116480466972622	4.69467063716093e-18	1.46191894329496e-18	7.27554185000107e-19	-6.10661405666251e-19
SJNBL030917_D1	0.000273438025342127	0.00149384103689788	0.00455946976860263	0.000137998079028544	0.00432992216183837	0.0178472906251505	0.164326816954348	0.243469394713827	0.0717247552190967	0.0278572269601994	7.41595342229994e-18	0.346858568130795	7.50058709436331e-18	0.000345859893271915	0.000805306396178438	0.000206516762415872	4.10249382836563e-05	-2.76002910401548e-18	0.000374430356825687	0.115348139977898	1.21647795515216e-18	-4.54592154503101e-18	8.87130373095283e-18	7.79693573506509e-19	-1.02701288649903e-17
SJNBL030925_D1	0.00400346163555523	0.000445314256790646	0.00325576260539693	1.33442002007301e-05	0.00558574846092559	0.0217384433101438	0.1614143401929	0.143238521283651	0.289291012655235	0.159492329115812	-1.68056812151167e-17	0.161970779217777	1.82088099239394e-18	4.28418008429426e-05	0.000955027794325373	1.25409109239961e-18	-1.47600481407809e-19	7.07426456357438e-18	0.00105064303809353	0.0475024304323502	2.30695492827118e-18	3.64209268430794e-18	-1.30263971419809e-17	9.05148744805884e-19	6.41188280959794e-18
SJNBL030955_D1	0.0058496343718089	-3.65938015305749e-20	3.31984064595257e-20	1.16893556300792e-20	0.00334474942922276	0.0258986508890412	0.0848322240083521	0.113893830142259	0.0673858959997503	0.0321491426454302	2.54313527269264e-17	0.487412881420076	-1.7979289623571e-17	0.00589450696498261	0.00103781365641026	0.00027535725809498	5.79085549627018e-19	2.56581463134998e-18	0.000338295541170927	0.1716870176734	5.61396595589294e-18	-2.39055364707305e-18	1.30227931866446e-19	1.24022949179353e-18	-5.41626706745485e-19
SJNBL031053_D1	0.000684937984685489	-3.62244554227285e-19	4.53554478644396e-05	5.93965856944388e-21	0.000102331885423328	0.00234342278198687	0.0307274805866841	-3.12142514467339e-19	0.0274524098602858	0.011422597170814	7.05411677440005e-18	0.454302314580822	-1.71750690684438e-17	0.0540133359128376	0.000791594367835754	0.00422736229681307	0.0498876419281533	-5.424548217952e-18	0.00085121944568058	0.236674426987956	0.126473568762158	6.67892599533645e-18	1.85323885170591e-18	3.39034979897132e-20	-9.97060696067879e-19
SJNBL031070_D1	4.50217467377017e-06	-1.11507517310397e-19	-9.30210248431496e-20	-2.57340345931274e-22	0.0016825197821416	0.0113158696993112	0.1332904265649	0.0991453618485074	0.0931295277429554	0.0100695149421509	-3.17727521743792e-18	0.408122815905005	-7.75048448332522e-18	0.00160703183095133	0.000721425330214641	0.0673520642055996	3.91691825248182e-19	-9.60294535701966e-19	0.000938419923118148	0.172128571951433	0.000491948099037765	-3.39823448784548e-18	2.67455763967229e-18	-2.00561105836242e-18	-3.69110667510949e-18
SJNBL031145_D1	3.60097217328823e-06	-1.24441900061868e-19	9.03041562849907e-20	-1.7100621799853e-21	0.00293932030069346	0.00628379210552853	0.114571495587537	0.190718405988592	0.021413962302062	0.00437681793533298	2.20492712842009e-18	0.467665997279108	4.02694857493916e-18	0.0146041236259958	0.000560622473477569	0.000245069135201163	2.91842642681441e-05	1.57636101995515e-17	0.00031460502171825	0.151414814147201	0.0248581888611101	-2.93707868678677e-18	5.9756684868446e-18	2.79792161477164e-18	4.23987070678392e-18
SJNBL031228_D1	0.00263666010701916	1.22762701985633e-21	0.00042051472127087	-1.75059786585512e-22	0.00595040549389632	0.0163057746964185	0.118624298173957	0.0772028207498388	0.312391226539949	0.0222716101893494	-2.38486312747647e-17	0.328242001263768	4.75607964887785e-18	0.0200165103978091	0.00100079720398543	0.000284262477951171	4.01387188541865e-05	-8.51989248113005e-18	0.000683535772642492	0.0939294434932906	2.17702466224815e-18	7.96196087951976e-18	1.39374890448289e-17	-3.27640889130379e-19	1.22264703575859e-18
SJNBL031239_D1	3.88045366350419e-19	-2.88810731410845e-20	-5.47488314937223e-19	-1.68038029106979e-20	-2.76000069375135e-19	-8.4106699448006e-19	0.0675725927384977	0.00726190964613781	0.0348508226512327	0.0185530404191124	3.89094196621948e-17	0.459116214776274	2.63266063007711e-17	0.0550440569822525	0.044854519550231	-2.32232088144869e-19	0.158399688891141	1.4401004992185e-17	0.0942115243830529	4.09859085564632e-05	8.33516580684371e-18	0.0445548263559301	-9.95625858364238e-18	0.0155398176975817	1.61400693006135e-18
